Model,Test,Few(n),n,Prompt,r,ex_selector,s,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
openai-text-davinci-002,asset-test,asset-valid,3,p1,1,random,163095907.66666666,73.89,7.86,61.12,57.61,42.2,7.29,70.35,77.85,73.2,69.77,70.59,70.17,132.1,138.69,56.6,13.94,92.31,99.07,37.74,81.72,0.91,1.11,0.81,0.0,0.2,0.26,8.5
flan-t5-xxl,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,56.88,5.45,63.11,49.69,39.42,7.32,76.13,70.72,73.05,81.94,73.46,77.66,88.91,83.43,65.13,12.78,92.06,99.42,31.34,82.4,0.87,1.22,0.82,0.08,0.14,0.26,8.59
flan-t5-small,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,60.64,2.07,62.46,42.66,35.73,8.37,75.81,69.61,72.33,83.99,74.43,79.13,101.6,110.55,57.39,18.07,93.02,99.46,33.66,83.91,0.86,1.03,0.85,0.23,0.08,0.22,8.63
bloom-3b,asset-test,asset-valid,3,p2,1,random,95829907.66666667,52.68,3.87,57.66,49.91,37.15,7.92,70.05,76.79,72.28,72.46,72.6,72.39,94.47,150.91,54.34,17.63,87.63,97.31,33.61,76.43,1.25,1.56,0.78,0.16,0.22,0.19,8.53
bloomz-3b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,72.73,2.74,58.38,42.41,34.51,8.55,68.79,75.76,71.4,72.26,74.77,73.5,140.99,263.84,48.77,15.36,91.64,99.1,38.29,81.74,0.97,1.04,0.87,0.05,0.17,0.19,8.56
openai-text-curie-001,asset-test,asset-valid,3,p1,1,random,163095907.66666666,68.73,6.41,59.14,55.16,40.24,7.42,68.15,75.71,70.99,68.4,70.24,69.31,123.94,142.11,52.69,14.82,91.1,98.82,37.28,81.17,0.94,1.14,0.81,0.0,0.22,0.25,8.5
bloomz,asset-test,asset-valid,3,p1,1,random,95829907.66666667,66.96,5.64,58.7,52.3,38.88,7.52,67.87,75.48,70.96,69.66,73.69,71.68,127.48,160.51,50.16,14.69,90.93,99.06,37.39,80.65,0.97,1.16,0.85,0.0,0.21,0.22,8.52
bloom-3b,asset-test,asset-valid,3,p0,1,random,95829907.66666667,54.51,3.75,56.39,52.27,37.47,7.7,69.4,74.51,70.76,71.34,69.57,70.34,99.44,181.02,54.01,18.96,88.14,97.36,35.68,80.62,1.12,1.44,0.78,0.14,0.23,0.23,8.51
bloomz-7b1,asset-test,asset-valid,3,p1,1,random,95829907.66666667,67.57,4.02,58.02,48.1,36.71,8.23,67.79,75.19,70.7,70.7,74.19,72.44,124.29,128.8,49.17,14.89,91.2,98.98,37.63,81.18,0.98,1.09,0.86,0.01,0.2,0.2,8.53
opt-iml-max-30b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,73.73,4.46,58.33,53.36,38.72,7.07,68.84,73.91,70.36,70.14,68.58,69.32,146.19,208.71,52.08,16.0,92.43,99.1,38.31,81.81,0.87,1.09,0.83,0.01,0.17,0.27,8.53
openai-text-ada-001,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,61.45,2.19,63.9,37.17,34.42,8.66,70.68,70.62,70.33,78.94,76.3,77.57,104.74,245.51,55.06,19.38,90.99,98.87,31.47,81.73,0.99,1.1,0.84,0.27,0.15,0.18,8.54
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,55.2,4.41,61.96,50.87,39.08,6.9,74.08,67.45,70.27,80.01,69.35,74.61,94.48,93.25,62.7,15.11,91.83,99.35,31.65,82.38,0.84,1.24,0.8,0.08,0.13,0.28,8.61
cohere-command-light,asset-test,asset-valid,3,p0,1,random,489.0,62.26,5.85,55.4,61.39,40.88,7.58,71.4,71.55,70.24,69.38,60.73,64.95,194.19,391.68,55.37,22.53,92.69,99.24,40.66,87.25,0.87,1.14,0.73,0.05,0.18,0.33,8.43
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,55.96,3.32,60.02,48.58,37.31,7.28,75.92,64.48,69.62,82.21,66.02,73.93,104.43,104.24,62.53,15.35,93.76,99.42,34.13,84.51,0.77,1.07,0.79,0.13,0.08,0.32,8.61
bloomz,news-manual-all-test,news-manual-all-val,3,p2,1,random,163095907.66666666,51.7,3.99,59.23,47.96,37.06,8.41,71.24,68.65,69.55,77.58,72.22,74.86,81.0,88.32,62.07,13.52,91.93,99.45,31.89,82.28,0.94,1.14,0.8,0.1,0.19,0.26,8.59
opt-13b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,69.9,3.45,57.46,48.95,36.62,7.75,66.67,73.62,69.3,68.69,69.94,69.29,137.24,151.07,49.28,15.58,91.74,98.92,38.15,81.44,0.93,1.09,0.84,0.0,0.19,0.24,8.56
openai-text-babbage-001,asset-test,asset-valid,3,p1,1,random,163095907.66666666,66.21,4.69,58.67,50.04,37.8,8.33,65.91,74.56,69.25,67.77,71.62,69.67,123.57,197.84,49.04,15.72,90.23,98.71,37.33,81.13,1.01,1.11,0.82,0.0,0.23,0.22,8.54
flan-t5-small,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,60.0,1.89,62.29,43.46,35.88,8.15,72.42,66.85,69.2,79.71,70.56,75.06,120.95,306.62,54.41,20.32,92.55,99.1,33.43,84.09,0.9,1.07,0.83,0.21,0.11,0.24,8.61
openai-text-curie-001,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,51.42,4.39,59.58,48.61,37.53,8.23,71.26,67.98,69.17,77.04,70.88,73.92,74.0,80.82,64.35,12.46,91.72,99.34,30.21,80.38,0.94,1.14,0.78,0.04,0.2,0.26,8.57
openai-text-curie-001,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,52.86,4.76,60.25,48.5,37.83,8.08,71.09,67.84,68.99,76.69,70.13,73.37,68.15,56.13,65.3,11.15,92.04,99.46,30.34,80.72,0.94,1.14,0.77,0.05,0.19,0.26,8.58
openai-gpt-3.5-turbo,asset-test,asset-valid,3,p1,1,random,163095907.66666666,58.24,12.09,58.16,69.2,46.48,6.99,65.65,74.39,68.95,62.25,64.46,63.37,125.69,160.19,59.47,14.34,92.06,99.24,36.72,81.19,0.93,1.16,0.7,0.0,0.32,0.35,8.43
flan-t5-large,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,54.4,3.55,60.49,52.41,38.82,7.03,74.98,64.15,68.93,80.61,64.77,72.53,100.26,102.33,62.74,15.2,93.79,99.53,33.53,83.7,0.77,1.11,0.78,0.08,0.1,0.33,8.61
openai-text-davinci-003,asset-test,asset-valid,3,p1,1,random,163095907.66666666,63.31,9.72,56.66,68.59,44.99,6.26,67.26,72.8,68.85,64.15,61.2,62.68,154.48,179.77,57.46,15.83,93.46,99.34,39.34,82.87,0.8,1.09,0.71,0.0,0.24,0.4,8.51
llama-65b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,67.02,5.47,58.94,53.38,39.26,6.8,64.92,74.41,68.72,65.99,70.3,68.08,133.18,141.96,51.01,15.23,91.08,98.83,36.56,78.9,0.95,1.23,0.82,0.0,0.23,0.24,8.52
bloom-1b1,asset-test,asset-valid,3,p2,1,random,95829907.66666667,47.77,2.43,57.54,42.27,34.08,8.18,64.51,75.08,68.6,68.2,72.91,70.3,91.41,113.33,51.23,19.72,85.92,95.76,32.79,74.85,1.49,1.76,0.77,0.36,0.25,0.15,8.57
bloomz,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,51.24,4.13,59.22,49.03,37.46,8.13,70.46,67.53,68.59,76.33,70.61,73.43,79.04,83.94,62.43,13.2,91.95,99.47,31.92,82.59,0.92,1.12,0.78,0.1,0.19,0.27,8.6
flan-t5-small,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,54.26,2.83,60.35,49.97,37.72,7.61,72.13,65.22,68.15,78.48,67.78,73.05,108.88,115.37,53.61,20.1,92.65,99.22,33.26,84.0,0.84,1.12,0.81,0.11,0.12,0.28,8.63
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,52.21,3.59,60.05,52.38,38.67,7.21,73.66,63.58,68.09,79.42,65.26,72.21,110.26,123.14,59.11,17.73,93.35,99.45,33.01,84.27,0.79,1.11,0.79,0.07,0.11,0.32,8.59
cohere-command-light,asset-test,asset-valid,3,p2,1,random,489.0,63.43,4.85,54.34,57.97,39.05,7.85,68.99,69.6,68.02,68.5,60.31,64.32,304.31,1662.23,52.0,23.56,91.96,98.97,40.7,87.41,0.85,1.07,0.74,0.09,0.18,0.33,8.5
llama-30b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,66.75,5.07,57.23,54.23,38.84,6.79,65.39,72.3,67.86,65.91,66.92,66.39,138.55,164.55,51.79,15.44,91.5,98.82,37.21,79.87,0.91,1.18,0.8,0.0,0.22,0.28,8.51
llama-65b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,50.81,4.96,60.99,49.83,38.59,7.1,68.73,68.01,67.82,73.89,70.36,71.98,69.59,61.86,64.24,14.6,90.09,98.46,28.91,78.51,0.98,1.24,0.77,0.19,0.23,0.26,8.51
bloom-1b1,asset-test,asset-valid,3,p0,1,random,95829907.66666667,50.91,2.35,56.6,44.47,34.47,8.23,64.49,73.32,67.78,67.64,70.39,68.79,100.05,151.8,50.88,19.82,86.96,96.51,34.88,79.08,1.3,1.55,0.76,0.34,0.25,0.19,8.52
bloomz-1b1,asset-test,asset-valid,3,p1,1,random,95829907.66666667,69.11,2.43,57.46,44.77,34.89,8.2,64.87,72.21,67.64,68.1,70.53,69.3,130.82,154.7,45.86,16.21,91.29,98.91,37.93,81.69,0.97,1.08,0.84,0.02,0.2,0.22,8.56
bloom-7b1,asset-test,asset-valid,3,p1,1,random,95829907.66666667,64.97,3.89,57.23,51.04,37.39,7.47,64.75,72.18,67.55,66.42,68.47,67.42,129.17,133.23,48.29,16.32,90.97,98.71,37.34,80.13,0.98,1.17,0.82,0.0,0.22,0.25,8.54
llama-13b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,66.5,5.3,56.76,57.57,39.88,6.68,65.65,71.32,67.42,65.8,64.75,65.25,141.55,163.6,51.76,16.17,91.84,99.05,38.07,80.61,0.88,1.14,0.79,0.0,0.22,0.3,8.52
opt-iml-max-1.3b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,63.2,1.53,64.36,34.09,33.33,8.0,65.62,69.62,67.34,73.08,75.36,74.17,100.04,99.24,51.58,14.12,90.81,99.29,31.21,79.65,1.03,1.15,0.86,0.01,0.17,0.18,8.65
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,58.05,2.54,61.51,44.46,36.17,8.14,70.91,64.51,67.28,77.82,67.65,72.64,103.84,97.06,55.73,18.8,92.99,99.15,33.45,83.58,0.85,1.03,0.81,0.11,0.11,0.27,8.64
bloom,asset-test,asset-valid,3,p1,1,random,95829907.66666667,64.78,4.79,57.09,54.77,38.88,6.87,64.38,71.55,67.04,65.31,66.37,65.81,138.63,147.81,49.54,16.48,91.31,98.92,37.63,80.39,0.94,1.2,0.79,0.0,0.22,0.27,8.56
opt-6.7b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,65.57,3.4,56.36,51.59,37.12,7.34,64.42,71.24,66.89,66.11,66.72,66.38,132.87,143.13,49.19,16.18,91.45,98.75,37.6,80.21,0.93,1.15,0.82,0.0,0.21,0.27,8.55
bloom-560m,asset-test,asset-valid,3,p1,1,random,95829907.66666667,67.6,1.37,57.55,37.82,32.25,8.47,63.0,72.28,66.87,66.79,71.76,69.23,132.16,137.72,44.87,16.01,90.69,98.64,37.07,80.43,1.05,1.11,0.85,0.0,0.2,0.19,8.58
opt-66b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,66.61,3.77,56.19,54.01,37.99,7.26,64.59,70.71,66.67,65.73,64.96,65.32,142.67,152.93,49.84,15.94,92.37,99.24,38.47,81.48,0.88,1.09,0.8,0.0,0.2,0.29,8.54
opt-1.3b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,65.53,1.98,56.6,39.64,32.74,8.35,62.61,72.28,66.63,66.05,71.47,68.72,122.58,125.65,45.59,15.57,90.23,98.59,36.58,79.93,1.07,1.15,0.84,0.0,0.22,0.2,8.57
opt-iml-max-30b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,47.51,4.88,57.79,56.11,39.59,6.09,71.09,62.98,66.39,75.5,63.44,69.35,95.63,109.74,64.74,14.79,92.67,99.38,31.56,82.64,0.82,1.22,0.74,0.1,0.18,0.35,8.51
opt-30b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,65.34,3.67,55.58,53.9,37.71,7.46,63.81,69.54,65.71,64.81,64.29,64.52,137.23,149.32,49.67,16.17,92.19,99.08,37.86,80.8,0.89,1.07,0.79,0.0,0.21,0.29,8.55
bloom-1b1,asset-test,asset-valid,3,p1,1,random,95829907.66666667,65.84,1.87,56.83,42.58,33.76,8.24,62.05,70.76,65.64,65.03,68.84,66.9,143.23,182.34,45.28,16.25,91.09,98.76,37.39,80.13,1.02,1.1,0.83,0.0,0.21,0.22,8.54
opt-iml-max-30b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,49.89,3.57,57.43,51.88,37.63,6.91,71.09,61.18,65.55,76.33,62.24,69.11,95.95,135.2,64.65,13.84,93.18,99.36,32.82,83.69,0.81,1.11,0.74,0.12,0.15,0.35,8.54
llama-65b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,49.52,4.78,59.53,50.42,38.24,6.65,66.33,65.95,65.48,71.2,67.84,69.31,73.07,73.47,63.77,15.23,89.77,98.04,28.94,77.73,0.98,1.28,0.76,0.19,0.24,0.28,8.53
opt-iml-max-1.3b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,57.66,1.59,59.99,41.96,34.51,8.3,68.17,63.0,65.18,75.08,66.38,70.62,84.46,83.35,60.99,15.19,92.56,99.14,33.69,84.02,0.92,1.05,0.78,0.35,0.15,0.28,8.6
openai-text-davinci-002,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,54.86,5.49,61.26,48.97,38.57,6.87,64.19,66.91,65.14,68.86,68.58,68.71,101.04,86.49,57.89,12.67,91.91,99.43,29.54,77.81,0.93,1.23,0.78,0.0,0.23,0.28,8.56
openai-text-ada-001,asset-test,asset-valid,3,p1,1,random,163095907.66666666,62.19,3.82,57.92,48.99,36.91,7.74,60.67,71.22,65.02,62.68,67.97,65.28,167.25,252.91,41.78,19.69,88.68,97.52,36.22,79.71,1.05,1.2,0.81,0.0,0.25,0.22,8.49
bloom-3b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,63.41,3.47,55.18,51.37,36.67,7.42,62.46,69.18,64.93,63.96,65.16,64.53,135.32,154.71,46.6,16.27,90.88,98.78,37.34,80.2,0.94,1.15,0.8,0.0,0.23,0.27,8.51
gpt-j-6b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,62.11,4.06,55.54,55.14,38.25,7.25,62.77,69.21,64.93,63.97,63.73,63.83,150.37,286.32,48.07,17.33,91.16,98.66,37.25,79.94,0.91,1.14,0.78,0.0,0.23,0.29,8.52
gpt-neox-20b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,60.68,4.67,54.11,58.51,39.1,6.93,62.64,68.14,64.25,62.81,60.99,61.88,136.6,165.57,50.27,16.19,91.97,98.95,37.82,80.27,0.88,1.12,0.76,0.0,0.23,0.33,8.54
llama-7b,asset-test,asset-valid,3,p1,1,random,95829907.66666667,60.91,5.27,53.84,59.31,39.47,6.41,62.24,67.87,63.95,62.09,60.43,61.24,159.11,356.54,50.32,16.78,92.03,98.98,37.7,80.35,0.86,1.17,0.75,0.0,0.24,0.34,8.53
llama-30b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,47.14,4.93,56.85,50.71,37.5,6.75,65.32,63.42,63.89,70.12,64.8,67.37,68.95,63.7,64.3,13.4,90.54,98.76,29.33,79.91,0.93,1.28,0.73,0.14,0.26,0.32,8.51
llama-30b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,46.98,5.06,57.12,51.53,37.9,6.77,65.32,63.13,63.71,69.64,63.91,66.69,68.71,69.3,64.81,13.11,90.48,98.79,29.36,79.75,0.95,1.28,0.73,0.14,0.26,0.32,8.49
bloomz,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,46.64,4.08,56.5,49.65,36.74,7.44,62.03,64.83,63.15,67.45,68.14,67.79,105.04,123.29,52.69,14.87,91.45,99.53,31.34,79.51,0.94,1.19,0.79,0.0,0.25,0.29,8.63
openai-text-babbage-001,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,46.73,3.71,55.85,49.65,36.41,8.32,65.65,61.25,62.99,70.89,63.32,67.05,77.79,88.45,60.91,14.95,91.48,99.06,30.7,81.05,0.93,1.11,0.74,0.05,0.23,0.32,8.55
openai-text-ada-001,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,54.16,2.24,60.01,42.79,35.01,8.75,63.11,63.21,62.73,69.97,66.68,68.26,172.96,1062.34,52.29,20.92,91.08,98.47,31.43,81.54,1.0,1.07,0.78,0.2,0.2,0.26,8.51
opt-iml-max-1.3b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,53.31,2.11,58.95,50.16,37.08,7.32,66.95,59.39,62.68,72.08,60.72,66.25,88.38,107.23,60.47,15.89,92.82,99.23,33.19,83.95,0.87,1.06,0.74,0.2,0.17,0.33,8.51
bloomz-3b,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,53.64,2.22,59.71,44.36,35.43,8.02,61.09,63.38,61.93,67.05,67.15,67.09,103.09,94.8,50.17,16.13,91.61,99.33,31.95,80.53,0.96,1.08,0.8,0.03,0.22,0.27,8.66
opt-30b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,45.5,3.79,55.89,53.07,37.58,7.75,64.38,60.29,61.79,68.61,61.06,64.76,70.61,64.73,61.91,14.72,91.47,98.96,31.38,81.99,0.94,1.19,0.72,0.11,0.25,0.34,8.6
openai-gpt-3.5-turbo,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,33.2,7.31,48.31,60.05,38.55,7.58,64.88,59.88,61.7,67.81,58.82,63.29,78.81,68.23,68.25,10.69,93.02,99.62,30.24,81.72,0.88,1.17,0.64,0.01,0.29,0.42,8.52
openai-text-babbage-001,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,45.33,3.63,54.65,50.2,36.16,8.23,64.95,59.24,61.59,70.41,60.9,65.58,80.82,157.17,62.69,13.17,91.97,99.1,31.04,81.81,0.9,1.08,0.72,0.05,0.22,0.34,8.55
openai-text-davinci-003,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,31.41,6.38,47.51,59.39,37.76,7.75,64.43,59.78,61.56,67.33,59.24,63.28,72.21,60.93,66.2,11.24,92.54,99.65,30.5,81.26,0.89,1.13,0.64,0.0,0.31,0.42,8.51
bloomz-560m,asset-test,asset-valid,3,p1,1,random,95829907.66666667,57.18,1.93,55.52,46.33,34.59,8.56,57.64,67.22,61.44,60.49,65.17,62.8,130.64,148.11,40.82,18.67,89.47,97.78,35.31,78.06,1.11,1.14,0.79,0.02,0.27,0.23,8.55
opt-13b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,43.77,3.83,54.56,52.42,36.94,7.24,64.24,59.58,61.36,68.8,60.35,64.48,72.38,68.03,60.39,16.14,90.42,98.79,30.96,81.47,0.99,1.25,0.72,0.09,0.24,0.33,8.55
bloomz-7b1,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,47.58,3.12,56.63,47.11,35.62,8.09,59.93,63.4,61.36,65.54,66.99,66.26,96.63,90.21,50.4,15.17,91.39,99.33,31.42,80.54,0.98,1.14,0.78,0.01,0.26,0.28,8.62
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,46.14,2.62,55.87,53.64,37.38,6.97,68.26,55.6,61.23,73.57,55.86,64.53,108.89,116.6,59.37,17.02,94.19,99.42,34.4,84.83,0.73,1.06,0.73,0.08,0.12,0.39,8.58
bloom,news-manual-all-test,news-manual-all-val,3,p2,1,random,163095907.66666666,41.9,4.4,54.7,53.34,37.48,7.49,62.73,60.57,61.17,67.01,61.64,64.27,75.44,78.14,60.98,14.23,90.55,98.87,30.46,81.34,1.01,1.3,0.71,0.02,0.28,0.33,8.57
opt-30b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,45.64,3.4,55.79,51.94,37.04,7.96,63.03,59.94,61.0,67.52,61.1,64.23,71.92,78.16,61.44,14.5,91.21,99.05,31.21,82.02,0.99,1.18,0.72,0.13,0.25,0.33,8.59
bloom-7b1,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,39.07,2.97,57.48,47.9,36.12,7.96,60.37,62.65,61.0,66.09,65.78,65.83,77.61,99.89,54.16,18.18,87.99,97.74,29.45,79.1,1.27,1.52,0.73,0.12,0.29,0.25,8.56
openai-text-davinci-003,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,32.51,6.44,47.13,59.94,37.84,7.03,65.64,57.62,60.94,68.22,55.92,62.01,89.09,74.74,67.38,11.86,93.62,99.66,31.76,82.62,0.8,1.13,0.64,0.0,0.25,0.45,8.54
opt-13b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,42.77,4.19,54.74,54.09,37.67,7.16,63.69,58.8,60.65,67.65,59.11,63.29,71.6,67.73,61.31,15.43,90.57,98.8,30.94,81.88,0.97,1.26,0.7,0.08,0.26,0.35,8.57
opt-66b,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,40.78,4.21,52.09,55.03,37.11,7.12,64.51,57.6,60.46,68.15,57.21,62.57,79.64,84.39,63.08,13.89,91.79,99.22,31.28,82.64,0.87,1.17,0.7,0.06,0.24,0.39,8.52
opt-66b,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,40.96,4.03,52.76,55.58,37.45,7.25,63.83,58.11,60.43,67.44,57.53,62.4,74.83,66.26,62.98,14.05,91.48,99.07,31.04,82.31,0.89,1.17,0.69,0.05,0.26,0.38,8.51
bloom,news-manual-all-test,news-manual-all-val,3,p0,1,random,95829907.66666667,42.43,4.26,53.91,53.46,37.21,7.17,62.38,59.23,60.3,66.33,59.7,62.94,79.06,76.01,60.87,15.3,90.97,99.01,31.0,81.82,0.98,1.3,0.7,0.02,0.27,0.35,8.58
openai-gpt-3.5-turbo,news-manual-all-test,news-manual-all-val,3,p2,1,random,95829907.66666667,28.14,7.21,43.92,60.74,37.29,7.8,63.24,58.41,60.19,65.92,57.41,61.65,75.27,65.2,67.97,10.56,93.4,99.61,29.73,81.73,0.89,1.13,0.62,0.0,0.33,0.45,8.47
openai-text-curie-001,news-manual-all-test,news-manual-all-val,3,p1,1,random,95829907.66666667,46.87,4.64,56.67,50.77,37.36,7.03,59.44,61.48,60.01,64.05,63.2,63.62,92.93,84.77,55.92,15.27,90.91,99.2,29.2,77.08,0.96,1.24,0.74,0.0,0.28,0.31,8.56
